,,,,,,,,,,,Boaz's Point Lat,,Boaz's Point Lon,,Boaz's Point Alt,
51,1c:b9:c4:14:33:c8,Ariel_University,11,-75,32.10303985,35.20967867,690.7003682,03/12/2017 08:54,Approx. w-center algo1,,32.10303985,MATCH,35.20967867,MATCH,690.7003682,MATCH
52,1c:b9:c4:16:f1:98,Ariel_University,11,-73,32.10305306,35.20968827,690.8082143,03/12/2017 08:54,Approx. w-center algo1,,32.10305306,MATCH,35.20968827,MATCH,690.8082143,MATCH
53,f8:d1:11:77:77:c6,HelpDesk,4,-70,32.10307379,35.20968968,690.8556103,03/12/2017 08:54,Approx. w-center algo1,,32.10307379,MATCH,35.20968968,MATCH,690.8556103,MATCH
54,8c:0c:90:ad:75:e3, ,1,-76,32.10310981,35.20969477,690.8784428,03/12/2017 08:54,Approx. w-center algo1,,32.10310981,MATCH,35.20969477,MATCH,690.8784428,MATCH
55,1c:b9:c4:16:f4:7c,Ariel_University,36,-84,32.1031268,35.20969477,691.2650945,03/12/2017 08:54,Approx. w-center algo1,,32.1031268,MATCH,35.20969477,MATCH,691.2650945,MATCH
56,ec:8c:a2:08:78:cc,Ariel_University,48,-85,32.10315652,35.20969478,691.391404,03/12/2017 08:54,Approx. w-center algo1,,32.10315652,MATCH,35.20969478,MATCH,691.391404,MATCH
57,1c:b9:c4:16:11:ac,Ariel_University,44,-90,32.10319577,35.20969913,691.4192045,03/12/2017 08:54,Approx. w-center algo1,,32.10319577,MATCH,35.20969913,MATCH,691.4192045,MATCH
58,ec:8c:a2:26:b1:78,Ariel_University,1,-69,32.10323198,35.20969913,692.7648361,03/12/2017 08:54,Approx. w-center algo1,,32.10323198,MATCH,35.20969913,MATCH,692.7648361,MATCH
59,1c:b9:c4:16:11:a8,Ariel_University,1,-73,32.1032452,35.20969913,692.7964602,03/12/2017 08:54,Approx. w-center algo1,,32.1032452,MATCH,35.20969913,MATCH,692.7964602,MATCH
60,1c:b9:c4:16:ee:98,Ariel_University,6,-78,32.10326981,35.20971025,693,03/12/2017 09:04,Approx. w-center algo1,,32.10326981,MATCH,35.20971025,MATCH,693,MATCH
61,62:ab:1b:60:b4:cb,Bezeq Free,8,-78,32.10329589,35.2097119,693,03/12/2017 08:54,Approx. w-center algo1,,32.10329589,MATCH,35.2097119,MATCH,693,MATCH
62,a0:ab:1b:60:b4:ca,36518749,8,-87,32.10332787,35.2097119,693.9879864,03/12/2017 08:54,Approx. w-center algo1,,32.10332787,MATCH,35.2097119,MATCH,693.9879864,MATCH
63,1c:b9:c4:14:33:cc,Ariel_University,48,-86,32.10337114,35.20972421,694.3731328,03/12/2017 08:54,Approx. w-center algo1,,32.10337114,MATCH,35.20972421,MATCH,694.3731328,MATCH
64,1c:b9:c4:14:2b:d8,Ariel_University,1,-69,32.10337662,35.20975956,694.6152531,03/12/2017 08:54,Approx. w-center algo1,,32.10337662,MATCH,35.20975956,MATCH,694.6152531,MATCH
65,1c:b9:c4:14:2b:dc,Ariel_University,36,-74,32.10339963,35.20977924,694.7803059,03/12/2017 08:54,Approx. w-center algo1,,32.10339963,MATCH,35.20977924,MATCH,694.7803059,MATCH
66,c4:12:f5:f6:a0:18,lab_6.1.3,3,-80,32.10340144,35.20978049,695,03/12/2017 08:54,Approx. w-center algo1,,32.10340144,MATCH,35.20978049,MATCH,695,MATCH
67,ec:8c:a2:08:94:1c,Ariel_University,44,-70,32.10340998,35.20978221,695.5706069,03/12/2017 08:54,Approx. w-center algo1,,32.10340998,MATCH,35.20978221,MATCH,695.5706069,MATCH
68,1c:b9:c4:15:1e:68,Ariel_University,1,-80,32.10340998,35.20978446,696,03/12/2017 08:54,Approx. w-center algo1,,32.10340998,MATCH,35.20978446,MATCH,696,MATCH
69,1c:b9:c4:15:3a:38,Ariel_University,11,-76,32.10342274,35.20979542,696,03/12/2017 08:54,Approx. w-center algo1,,32.10342274,MATCH,35.20979542,MATCH,696,MATCH
70,00:11:6b:11:02:b7,yosh,1,-81,32.10342274,35.20982755,696.2530309,03/12/2017 08:54,Approx. w-center algo1,,32.10342274,MATCH,35.20982755,MATCH,696.2530309,MATCH
71,00:1d:aa:81:d8:3c,KCG-ADSL,3,-62,32.10351072,35.20982946,696.4616326,03/12/2017 09:04,Approx. w-center algo1,,32.10351072,MATCH,35.20982946,MATCH,696.4616326,MATCH
72,1c:b9:c4:12:af:78,Ariel_University,11,-68,32.10351072,35.2098381,697,03/12/2017 09:10,Approx. w-center algo1,,32.10351072,MATCH,35.2098381,MATCH,697,MATCH
73,1c:b9:c4:14:2b:88,Ariel_University,11,-80,32.10351563,35.20985669,697.529939,03/12/2017 09:03,Approx. w-center algo1,,32.10351563,MATCH,35.20985669,MATCH,697.529939,MATCH
74,1c:b9:c4:14:30:38,Ariel_University,1,-72,32.10353368,35.2098678,698.1977168,03/12/2017 09:04,Approx. w-center algo1,,32.10353368,MATCH,35.2098678,MATCH,698.1977168,MATCH
75,40:a5:ef:7a:17:f2,2.4V1,1,-76,32.10353904,35.20987441,698.2061989,03/12/2017 08:55,Approx. w-center algo1,,32.10353904,MATCH,35.20987441,MATCH,698.2061989,MATCH
76,1c:b9:c4:15:ec:38,Ariel_University,6,-78,32.10358508,35.20987862,698.3196085,03/12/2017 08:55,Approx. w-center algo1,,32.10358508,MATCH,35.20987862,MATCH,698.3196085,MATCH
77,1c:b9:c4:16:06:bc,Ariel_University,48,-72,32.10360316,35.20987956,698.6908558,03/12/2017 08:55,Approx. w-center algo1,,32.10360316,MATCH,35.20987956,MATCH,698.6908558,MATCH
